question,answer,options,llm_labeled_successfully,llm_label
"A 45-year-old female presents to the emergency room as a trauma after a motor vehicle accident. The patient was a restrained passenger who collided with a drunk driver traveling approximately 45 mph. Upon impact, the passenger was able to extricate herself from the crushed car and was sitting on the ground at the scene of the accident. Her vitals are all stable. On physical exam, she is alert and oriented, speaking in complete sentences with a GCS of 15. She has a cervical spine collar in place and endorses exquisite cervical spine tenderness on palpation. Aside from her superficial abrasions on her right lower extremity, the rest of her examination including FAST exam is normal. Rapid hemoglobin testing is within normal limits. What is the next best step in management of this trauma patient?",CT cervical spine,"['CT cervical spine', 'Remove the patient’s cervical collar immediately', 'Discharge home and start physical therapy', 'Consult neurosurgery immediately', 'Initiate rapid sequence intubation.']",yes,CT cervical spine
"A 69-year-old woman is brought to the physician by her husband because of multiple falls and difficulty maintaining balance while standing or walking over the past year. During this period, she has had blurred vision and diplopia. Her husband has had difficulty understanding her speech for the past 3 months. She has become withdrawn and now refuses to go to social gatherings. Examination shows a broad-based gait and dysarthria. The visual acuity is 20/20 in each eye. There is conjugate limitation of both eyes while looking down. Muscle tone is increased in bilateral upper extremities. Bradykinesia is present. Mental status examination shows apathy. She responds to questions with 1–2 words after a delay of several seconds. Grasp reflex is present. An MRI of the brain is most likely to show which of the following?",Midbrain atrophy with intact pons,"['Atrophy of cerebellum and brainstem', 'Asymmetric focal cortical atrophy', 'Midbrain atrophy with intact pons', 'Frontal atrophy with intact hippocampi', 'Enlarged ventricles with mild cortical atrophy']",yes,Atrophy of cerebellum and brainstem
"A 67-year-old man presents to his primary care provider with bloody urine. He first noticed the blood 1 week ago. He otherwise feels healthy. His past medical history is significant for type 2 diabetes mellitus for 18 years, for which he takes insulin injections. He has smoked 30–40 cigarettes per day for the past 29 years and drinks alcohol socially. Today his vital signs include: temperature 36.6°C (97.8°F), blood pressure 135/82 mm Hg, and heart rate 105/min. There are no findings on physical examination. Urinalysis shows 15–20 red cells/high power field. Which of the following is the next best test to evaluate this patient’s condition?",Contrast-enhanced CT,"['Urine cytology', 'Contrast-enhanced CT', 'Prostate-specific antigen', 'Biopsy', 'Urinary markers']",yes,Urine cytology
An investigator is studying the genetic profile of an isolated pathogen that proliferates within macrophages. The pathogen contains sulfatide on the surface of its cell wall to prevent fusion of the phagosome and lysosome. She finds that some of the organisms under investigation have mutations in a gene that encodes the enzyme required for synthesis of RNA from a DNA template. The mutations are most likely to reduce the therapeutic effect of which of the following drugs?,Rifampin,"['Streptomycin', 'Rifampin', 'Ethambutol', 'Pyrazinamide', 'Levofloxacin']",yes,Rifampin
"A 3-year-old boy is brought to the physician for a follow-up examination. He has lactose intolerance. His family emigrated from Somalia 6 months ago. He is at the 30th percentile for height and 15th percentile for weight. Vital signs are within normal limits. Examination shows pale conjunctivae, an erythematous throat, and swollen tongue. There is inflammation of the perioral and labial mucosa, and peeling and cracking of the skin at the corners of the mouth. Cardiopulmonary examination shows no abnormalities. His hemoglobin concentration is 9.8 g/dL and mean corpuscular volume is 87 μm3. If left untreated, this child is also most likely to develop which of the following?",Seborrheic dermatitis,"['Hypersegmented neutrophils', 'Keratomalacia', 'Ataxia', 'Dilated cardiomyopathy', 'Seborrheic dermatitis']",yes,Keratomalacia
"A 66-year-old man comes to the emergency department because of a 1-day history of chest pain, palpitations, and dyspnea on exertion. He had a similar episode 3 days ago and was diagnosed with an inferior wall myocardial infarction. He was admitted and a percutaneous transluminal coronary angioplasty was successfully done that day. A fractional flow reserve test during the procedure showed complete resolution of the stenosis. Laboratory tests including serum glucose, lipids, and blood count were within normal limits. He was discharged the day after the procedure on a drug regimen of aspirin, simvastatin, and isosorbide dinitrate. At the time of discharge, he had no chest pain or dyspnea. Presently, his vitals are normal and ECG at rest shows new T-wave inversion. Which of the following is the most reliable test for rapidly establishing the diagnosis in this patient?",Creatine kinase MB,"['Lactate dehydrogenase', 'Creatine kinase MB', 'Cardiac troponin T', 'Copeptin', 'Aspartate aminotransferase']",yes,Cardiac troponin T
An 18-year-old primigravid woman comes to the physician for her first prenatal visit at 20 weeks' gestation. There is no family history of serious illness. She appears healthy and well-nourished. The uterus is palpated up to the level of the umbilicus. Laboratory studies show a maternal serum α-fetoprotein concentration of 8.2 MoM (N = 0.5–2.0). Ultrasonography shows a defect in the fetal abdominal wall to the right of the umbilical cord. A part of the fetus' bowels herniates through the abdominal defect and is suspended freely in the amniotic fluid. This fetus's condition is most likely associated with which of the following?,Intestinal dysmotility,"['Chromosomal trisomy', 'Spina bifida', 'Intestinal dysmotility', 'Bladder exstrophy', 'Beckwith-Wiedemann syndrome']",yes,Spina bifida
"A 21-year-old ِAfrican American woman presents with difficulty breathing, chest pain, and a non-productive cough. She says she took some ibuprofen earlier but it did not improve her pain. Past medical history is significant for sickle cell disease. Medications include hydroxyurea, iron, vitamin B12, and an oral contraceptive pill. She says she received a blood transfusion 6 months ago to reduce her Hgb S below 30%. Her vital signs include: temperature 38.2°C (100.7°F), blood pressure 112/71 mm Hg, pulse 105/min, oxygen saturation 91% on room air. A chest radiograph is performed and is shown in the exhibit. Which of the following is best initial step in the management of this patient’s condition?",Antibiotics and supportive care,"['Antibiotics and supportive care', 'ECG', 'CT angiography', 'Inhaled salbutamol and oral corticosteroid', 'Intra-articular corticosteroid injection with anesthetic']",yes,Antibiotics and supportive care
"A 32-year-old woman comes to the physician because of flank pain, myalgia, and reddish discoloration of her urine for the past 2 days. One week ago, she had a fever and a sore throat and was prescribed antibiotics. She is otherwise healthy and has no history of serious illness. Her temperature is 37.9°C (100.2°F), pulse is 70/min, and blood pressure is 128/75 mm Hg. Physical examination shows a soft abdomen and no costovertebral angle tenderness. Examination of the mouth and pharynx shows no abnormalities. There is a faint maculopapular rash over the trunk and extremities. Serum creatinine is 2.4 mg/dL. Urinalysis shows:
Protein 2+
Blood 2+
RBC 20–30/hpf
WBC 12/hpf
Bacteria none
Which of the following is the most likely diagnosis?""",Allergic interstitial nephritis,"['Allergic interstitial nephritis', 'Pyelonephritis', 'Crystal-induced acute kidney injury', 'Poststreptococcal glomerulonephritis', 'Thin basement membrane disease']",yes,Allergic interstitial nephritis
"Last night you admitted a 72-year-old woman with severe COPD in respiratory distress. She is currently intubated and sedated and her family is at bedside. At the completion of morning rounds, the patient's adult son asks that you and the team take a minute to pray with him for his mother. What is the most appropriate response?","""I understand what you are experiencing and am happy to take a minute.""","['""I\'m sorry, but this is a public hospital, so we cannot allow any group prayers.""', '""I understand what you are experiencing and am happy to take a minute.""', '""I also believe in the power of prayer, so I will pray with you and insist that the rest of team joins us.""', '""While I cannot offer you my prayers, I will work very hard to take care of your mother.""', '""I don\'t feel comfortable praying for patients, but I will happily refer you to pastoral care.""']",yes,I understand what you are experiencing and am happy to take a minute.
"A 12-month-old boy is brought to the physician for a well-child examination. He was born at 38 weeks' gestation and was 48 cm (19 in) in length and weighed 3061 g (6 lb 12 oz); he is currently 60 cm (24 in) in length and weighs 7,910 g (17 lb 7 oz). He can walk with one hand held and can throw a small ball. He can pick up an object between his thumb and index finger. He can wave 'bye-bye'. He can say 'mama', 'dada' and 'uh-oh'. He cries if left to play with a stranger alone. Physical examination shows no abnormalities. Which of the following is most likely delayed in this child?",Growth,"['Language skills', 'Gross motor skills', 'Growth', 'Fine motor skills', 'Social skills']",yes,Language skills
"A parent presents to her pediatrician requesting information about immunizations for her newborn. The pediatrician explains about basic principles of immunization, types of vaccines, possible adverse effects, and the immunization schedule. Regarding how immunizations work, the pediatrician explains that there are mainly 2 types of vaccines. The first type of vaccine provides stronger and more lasting immunity as it induces both cellular and humoral immune responses. The second type of vaccine produces mainly a humoral response only, and its overall efficacy is less as compared to the first type. Which of the following vaccines belongs to the first type of vaccine that the pediatrician is talking about?",Yellow fever vaccine,"['Yellow fever vaccine', 'Rabies vaccine', 'Hepatitis A vaccine', 'Polio vaccine (Salk)', 'Hepatitis B vaccine']",yes,Polio vaccine (Salk)
A 35-year-old male is found to be infected with an HIV strain resistant to saquinavir and zidovudine. Which of the following best explains the drug resistance observed in this patient?,pol mutation,"['HIV evasion of host response', 'pol mutation', 'env mutation', 'CCR5 mutation', 'HBV co-infection']",yes,env mutation
"A 30-year-old man comes to the physician because of recurrent episodes of right-sided jaw pain over the past 3 months. The patient describes the pain as dull. He says it worsens throughout the day and with chewing, and that it can also be felt in his right ear. He also reports hearing a cracking sound while eating. Over the past 2 months, he has had several episodes of severe headache that improves slightly with ibuprofen intake. Vital signs are within normal limits. Physical examination shows limited jaw opening. Palpation of the face shows facial muscle spasms. Which of the following is the most likely underlying cause of this patient's symptoms?",Dysfunction of the temporomandibular joint,"['Dental abscess', 'Trigeminal nerve compression', 'Infection of the mandible', 'Dysfunction of the temporomandibular joint', 'Chronic inflammation of the sinuses\n""']",yes,Dysfunction of the temporomandibular joint
"A 19-year-old college student presents to student health with 1 day of fever and chills. He says that he has also been coughing for 2 days. His roommate was sick 3 days ago with similar symptoms and was diagnosed with Mycoplasma infection. He has otherwise been healthy and has had all the required vaccines as scheduled. He is currently taking introductory biology as part of his premedical studies and recently learned about antibodies. He therefore asks his physician about what his body is doing to fight off the infection. At this stage of his infection, which of the following forms are the antibodies circulating in his serum?",Pentamers,"['Dimers', 'Monomers', 'Pentamers', 'Tetramers', 'Trimers']",yes,Monomers
"A 71-year-old man with hypertension is taken to the emergency department after the sudden onset of stabbing abdominal pain that radiates to the back. He has smoked 1 pack of cigarettes daily for 20 years. His pulse is 120/min and thready, respirations are 18/min, and blood pressure is 82/54 mm Hg. Physical examination shows a periumbilical, pulsatile mass and abdominal bruit. There is epigastric tenderness. Which of the following is the most likely underlying mechanism of this patient's current condition?",Aortic wall stress,"['Aortic wall stress', 'Mesenteric atherosclerosis', 'Gastric mucosal ulceration', 'Abdominal wall defect', 'Portal vein stasis']",yes,Mesenteric atherosclerosis
"A 55-year-old female presents to the emergency room complaining of severe abdominal pain. She reports a six-month history of worsening dull mid-epigastric pain that she had attributed to stress at work. She has lost fifteen pounds over that time. She also reports that her stools have become bulky, foul-smelling, and greasy. Over the past few days, her abdominal pain acutely worsened and seemed to radiate to her back. She also developed mild pruritus and yellowing of her skin. Her temperature is 101°F (38.3°C), blood pressure is 145/85 mmHg, pulse is 110/min, and respirations are 20/min. On examination, her skin appears yellowed and she is tender to palpation in her mid-epigastrium and right upper quadrant. She is subsequently sent for imaging. If a mass is identified, what would be the most likely location of the mass?",Ampulla of Vater,"['Common hepatic duct', 'Cystic duct', 'Common bile duct', 'Pancreatic duct', 'Ampulla of Vater']",yes,Common bile duct
"A 51-year-old woman presents to the emergency department with a 2-day history of bilateral lower extremity swelling. She says that her legs do not hurt, but she noticed she was gaining weight and her legs were becoming larger. Her past medical history is significant for morbid obesity, hypertension, and hypercholesterolemia. She says the swelling started after she was recently started on a new medication to help her blood pressure, but she does not remember the name of the medication. Which of the following is the most likely the mechanism of action for the drug that was prescribed to this patient?",Inhibition of calcium channels,"['Inhibition of calcium channels', 'Inhibition of enzyme in the lung', 'Inhibition of hormone receptor', 'Potassium-sparing diuretic', 'Potassium-wasting diuretic']",yes,Inhibition of calcium channels
"A 50-year-old woman, gravida 5, para 5, comes to the physician for the evaluation of decreased sexual desire for approximately 6 months. She has been sexually active with her husband but reports that she has no desire in having sexual intercourse anymore. She states that she feels guilty and is worried about losing her husband if this problem goes on for a longer period of time. She also reports that they have had several fights recently due to financial problems. She has problems going to sleep and wakes up often, and is tired throughout the day. One year ago, the patient underwent hysterectomy with bilateral salpingo-oophorectomy due to uterine prolapse. Her last menstrual period was 2 years ago. She does not smoke. She drinks 3–4 glasses of wine daily. Vital signs are within normal limits. Physical examination shows no abnormalities except for an enlarged liver. Which of the following most likely explains this patient's loss of libido?",Decreased testosterone,"['Chronic alcohol intake', 'Major depressive disorder', 'Decreased testosterone', 'Elevated prolactin', 'Stress']",yes,Major depressive disorder
"A mother brings her 6-month-old boy to the emergency department. She reports that her son has been breathing faster than usual for the past 2 days, and she has noted occasional wheezing. She states that prior to the difficulty breathing, she noticed some clear nasal discharge for several days. The infant was born full-term, with no complications, and no significant medical history. His temperature is 100°F (37.8°C), blood pressure is 60/30 mmHg, pulse is 120/min, respirations are 40/min, and oxygen saturation is 95% on room air. Physical exam reveals expiratory wheezing, crackles diffusely, and intercostal retractions. The child is currently playing with toys. Which of the following is the most appropriate next step in management?",Monitoring,"['Albuterol', 'Azithromycin and ceftriaxone', 'Chest radiograph', 'Intubation', 'Monitoring']",yes,Albuterol
"A 56-year-old man with chronic kidney failure is brought to to the emergency department by ambulance after he passed out during dinner. On presentation, he is alert and complains of shortness of breath as well as chest palpitations. An EKG is obtained demonstrating an irregular rhythm consisting of QT amplitudes that vary in height over time. Other findings include uncontrolled contractions of his muscles. Tapping of his cheek does not elicit any response. Over-repletion of the serum abnormality in this case may lead to which of the following?",Bradycardia,"['Bradycardia', 'Diffuse calcifications', 'Kidney stones', 'Peaked T-waves', 'Seizures']",yes,Seizures
"A 39-year-old woman comes to the physician because of an 8-month history of progressive fatigue, shortness of breath, and palpitations. She has a history of recurrent episodes of joint pain and fever during childhood. She emigrated from India with her parents when she was 10 years old. Cardiac examination shows an opening snap followed by a late diastolic rumble, which is best heard at the fifth intercostal space in the left midclavicular line. This patient is at greatest risk for compression of which of the following structures?",Esophagus,"['Trachea', 'Thoracic duct', 'Vagus nerve', 'Hemiazygos vein', 'Esophagus']",yes,Hemiazygos vein
"A 72-year-old man presents to the physician with blood in his sputum for 3 days. He also mentions that he has had a cough for the last 3 months but thought that it was because of the winter season. He also has often experienced fatigue recently. His temperature is 37.0°C (98.6°F), the respiratory rate is 15/min, the pulse is 67/min, and the blood pressure is 122/98 mm Hg. Auscultation of his chest reveals normal heart sounds but localized rhonchi over the right infrascapular region. A detailed diagnostic evaluation including a complete blood count and other serum biochemistry, chest radiogram, computed tomography of chest and abdomen, magnetic resonance imaging of the brain, bone scan, and pulmonary function tests are ordered, which confirm a diagnosis of limited-disease small cell lung cancer of 2.5 cm (1 in) in diameter, located in the lower lobe of the right lung, with the involvement of ipsilateral hilar lymph nodes and intrapulmonary lymph nodes. The mediastinal, subcarinal, scalene or supraclavicular lymph nodes are not involved, and there is no distant metastasis. There is no additional comorbidity and his performance status is good. The patient does not have any contraindication to any chemotherapeutic agents or radiotherapy. Which of the following is the best treatment option for this patient?",Platinum-based chemotherapy plus etoposide and thoracic radiation therapy,"['Lobectomy with adjuvant topotecan-based chemotherapy', 'Pneumonectomy with adjuvant platinum-based chemotherapy and thoracic radiation therapy', 'Platinum-based chemotherapy plus etoposide and thoracic radiation therapy', 'Topotecan-based chemotherapy plus thoracic radiation therapy', 'Thoracic radiation therapy followed by prophylactic cranial irradiation']",yes,Platinum-based chemotherapy plus etoposide and thoracic radiation therapy
"A 1-year-old male presents to his pediatrician for a well-child visit. Through a history from the mother and physical examination, the pediatrician learns that the baby babbles non-specifically, takes several steps independently, and picks up his cereal using two fingers. His weight is currently 22 lbs (birth-weight 6 lbs, 9 oz), and his height is 30 inches (birth length 18 inches). Are there any aspects of this child's development that are delayed?",Language delay,"['Inadequate growth', 'Language delay', 'Gross motor skill delay', 'Fine motor skill delay', 'There are no developmental concerns']",yes,Language delay
"A 14-year-old boy is admitted to the emergency department with acute onset of confusion, malaise, diffuse abdominal pain, nausea, and a single episode of vomiting. He denies ingestion of any suspicious foods, fevers, respiratory symptoms, or any other symptoms preceding his current condition. However, he notes an increase in his liquid consumption and urinary frequency over the last 6 months. On physical examination, he is responsive but somnolent. His blood pressure is 90/50 mm Hg, heart rate is 101/min, respiratory rate is 21/min, temperature is 36.0°C (96.8°F), and SpO2 is 96% on room air. He has facial pallor and dry skin and mucous membranes. His lungs are clear to auscultation, and heart sounds are normal. His abdomen is soft with no rebound tenderness on palpation. Neurological examination is significant for 1+ deep tendon reflexes in all extremities. A dipstick test shows 3+ for ketones and glucose. The patient’s blood tests show the following findings:
RBCs 4.1 million/mm3
Hb 13.7 mg/dL
Hematocrit 56%
Leukocyte count 7,800/mm3
Platelet count 321,000/mm3
Glucose 565 mg/dL
Potassium 5.8 mEq/L
Sodium 136 mEq/L
ALT 15 U/L
AST 17 U/L
Amylase 88 U/L
Bicarbonate 19 mEq/L
BE −3 mEq/L
pH 7.3
pCO2 37 mm Hg
pO2 66 mm Hg
Which of the medications listed below should be administered to the patient intravenously?",Regular insulin,"['Isophane insulin', 'Insulin detemir', 'Cefazolin', 'Regular insulin', 'Potassium chloride']",yes,Regular insulin
"An investigator is studying the regulation of adrenal hormone synthesis in rats. The investigator takes serum concentrations of different hormones before and after intravenous administration of metyrapone, which inhibits adrenal 11β-hydroxylase. The serum concentration of which of the following hormones is most likely to be decreased after administration of this agent?",Epinephrine,"['Adrenocorticotropic hormone', 'Normetanephrine', 'Epinephrine', 'Dopamine', 'Dihydroxyphenylalanine\n""']",yes,Adrenocorticotropic hormone
"A 66-year-old male presents to the emergency room with shortness of breath with exertion and at rest for the past 5 days. His shortness of breath is mostly at night, and he is also concerned about bilateral leg swelling. He is a heart failure patient who is being managed with oral medication and has been compliant with his drugs. Physical examination reveals an elderly man in respiratory distress with abdominal distention and bilateral pitting ankle edema. Respiratory rate is 32/min, SpO2 is 93% in room air, and coarse crepitations are heard on both lung bases. Pulse rate is 73/min and barely palpable. His blood pressure is 79/54 mm Hg. On auscultation, a blowing holosystolic murmur is heard at the apex radiating to the left axilla. An echocardiography shows an ejection fraction of 18%. The physician decides to include an inotropic agent in his current medication. What would likely result from this intervention?",A decrease in the interval between the heart sounds S1 and S2,"['A decrease in the systemic vascular resistance', 'A decrease in the interval between the heart sounds S1 and S2', 'An increase in the left ventricular end-systolic volume', 'A decrease in the interval between the heart sounds S2 and S1', 'A decrease in the left ventricular end-diastolic pressure']",yes,An increase in the left ventricular end-systolic volume
A 32-year-old man presents to the emergency department with a severe headache. He says that the pain has been getting progressively worse over the last 24 hours and is located primarily in his left forehead and eye. The headaches have woken him up from sleep and it is not relieved by over-the-counter medications. He has been recovering from a sinus infection that started 1 week ago. His past medical history is significant for type 1 diabetes and he has a 10 pack-year history of smoking. Imaging shows thrombosis of a sinus above the sella turcica. Which of the following findings would most likely also be seen in this patient?,Ophthalmoplegia,"['Anosmia', 'Mandibular pain', 'Ophthalmoplegia', 'Vertigo', 'Vision loss']",yes,Ophthalmoplegia
"A scientist is studying the influenza A virus. He focuses on two strains – one from humans (H7N1) and one from horses (H3N8). He takes cells from chickens and coinfects these cells with both influenza strains. From these chicken cells, the scientist isolates a new strain and finds that this new strain can infect human cells. He further characterizes the new strain’s hemagglutinin and neuraminidase description as H7N8. What term best describes the process that underlies these experimental results?",Genetic shift,"['Conjugation', 'Transformation', 'Transduction', 'Genetic drift', 'Genetic shift']",yes,Genetic shift
"A 44-year-old woman presents to the outpatient clinic for the evaluation of amenorrhea which she noted roughly 4 months ago. Her monthly cycles up to that point were normal. Initially, she thought that it was related to early menopause; however, she has also noticed that she has a small amount of milk coming from her breasts as well. She denies any nausea, vomiting, or weight gain but has noticed that she has lost sight in the lateral fields of vision to the left and right. Her vital signs are unremarkable. Physical examination confirms bitemporal hemianopsia. What test is likely to reveal her diagnosis?",MRI brain,"['Urine pregnancy test', 'MRI brain', 'Serum estrogen and progesterone levels', 'Mammogram', 'Serum TSH and free T4']",yes,MRI brain
"A 36-year-old woman, gravida 2, para 1, at 26 weeks' gestation comes to the emergency department because of a gush of clear fluid from her vagina that occurred 1 hour prior. She reports painful pelvic cramping at regular 5-minute intervals. She has missed most of her prenatal care visit because of financial problems from her recent divorce. Her first child was delivered vaginally at 27 weeks' gestation due to spontaneous preterm labor. She has smoked one pack of cigarettes daily for 15 years but has reduced her intake to 2–3 cigarettes per day since finding out she was pregnant. She continues to use cocaine once a week. Vital signs are within normal limits. Sterile speculum examination shows fluid pooling in the vagina, and nitrazine paper testing confirms the presence of amniotic fluid. Which of the following puts her at highest risk of preterm delivery?","History of spontaneous preterm birth
""","['Low socioeconomic status', 'Smoking during pregnancy', 'Substance abuse during pregnancy', 'Advanced maternal age', 'History of spontaneous preterm birth\n""']",yes,Substance abuse during pregnancy
"A 49-year-old man presents to his primary care physician complaining of multiple symptoms. He states that over the past 8 months he has noticed voice changes and difficulty swallowing. The dysphagia started with just dry foods like crackers but has progressed to include smoothies and ice cream. He works as a newspaper editor and has also noticed trouble writing with his dominant hand. He is accompanied by his wife, who complains that he snores and drools in his sleep. His medical history is significant for hypertension and a bicuspid aortic valve. He takes hydrochlorothiazide. On physical examination, there is atrophy of the right hand. The patient’s speech is slow. A systolic murmur at the right upper sternal border is appreciated. Tapping of the left patellar tendon causes the patient’s left lower extremity to forcefully kick out. Stroking of the plantar aspect of the patient’s left foot causes his left toes to extend upward. Which of the following therapies is most likely to slow the progression of the patient’s symptoms?",Riluzole,"['Amantadine', 'Beta interferon', 'Donepezil', 'Reserpine', 'Riluzole']",yes,Riluzole
"A 52-year-old man is seen by his endocrinologist for routine followup of his type 2 diabetes. Although he has previously been on a number of medication regimens, his A1C has remained significantly elevated. In order to try to better control his glucose level, the endocrinologist prescribes a new medication. He explains that this new medication works by blocking the ability of his kidneys to reabsorb glucose and therefore causes glucose wasting in the urine. Which of the following medications has this mechanism of action?",Canagliflozin,"['Acarbose', 'Canagliflozin', 'Exenatide', 'Glyburide', 'Metformin']",yes,Canagliflozin
